,name,type,identifier
0,liver damage,disease,['mesh:D056486']
1,hepatocellular carcinoma,disease,"['mim:114550', 'mesh:D006528']"
2,"1,4-Dioxane",chemical,['mesh:C025223']
3,"1,1,1-trichloroethane",chemical,['mesh:C024566']
4,kidney and liver damage,disease,['mesh:D008107']
5,cancer,disease,['mesh:D009369']
6,squamous cell carcinomas,disease,['mesh:D002294']
7,mitochondrial complex I,gene,['NCBIGene:4723']
8,parkinsonian motor deficits,disease,"['mesh:D020734', 'mim:600116']"
9,Neurotoxicity,disease,['mesh:D020258']
10,motor deficit,disease,['mesh:D000068079']
11,mitochondrial dysfunction,disease,['mesh:D028361']
12,degeneration,disease,['mesh:D019636']
13,Neuroinflammation,disease,['mesh:D020078']
14,neurodegenerative,disease,['mesh:D009410']
15,Parkinsons disease,disease,['mesh:D010300']
16,PD,disease,['mim:168600']
17,dopamine,chemical,['mesh:D004298']
18,rotenone,chemical,['mesh:D012402']
19,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",chemical,['mesh:D015632']
20,viral-mutated -synuclein,gene,['NCBIGene:9639']
21,Ecdysone,chemical,['mesh:D004440']
22,Ecdysone receptor,gene,['NCBIGene:11319']
23,EcR,gene,['NCBIGene:108383238']
24,20-hydroxyecdysone,chemical,['mesh:D004441']
25,20E,chemical,['CHEBI:34306']
26,EDC,chemical,['CHEBI:27789']
27,endocrine disruption,disease,['mesh:D004700']
28,pentachlorophenol,chemical,['mesh:D010416']
29,PCP,chemical,['CHEBI:41473']
30,PXR,gene,['NCBIGene:8856']
31,Cyp2a4,gene,['NCBIGene:1591']
32,Fos,gene,['NCBIGene:2353']
33,Junb,gene,['NCBIGene:3726']
34,Nrf2,gene,['NCBIGene:4780']
35,interferon signalling network genes,gene,['NCBIGene:3438']
36,ISG,gene,['NCBIGene:340061']
37,PCP,gene,['NCBIGene:5547']
38,Toll like receptors,gene,['NCBIGene:7096']
39,interferon regulatory factors,gene,['NCBIGene:3659']
40,interferon alpha,gene,['NCBIGene:3439']
41,PCP,disease,"['mim:119540', 'mesh:C566991']"
42,hyperthermia,disease,['mesh:D005334']
43,imiquimod,chemical,['mesh:D000077271']
44,RO8191,chemical,['mesh:C000655265']
45,interferon receptor,gene,['NCBIGene:3455']
46,PPAR,gene,['NCBIGene:5465']
47,PPAR signaling complex,gene,['NCBIGene:85441']
48,starvation,disease,['mesh:D013217']
49,malnutrition,disease,['mesh:D044342']
50,SMRT,gene,['NCBIGene:9612']
51,N-CoR,gene,['NCBIGene:9611']
52,fatty acid,chemical,['mesh:D005227']
53,acetyl-CoA,chemical,['mesh:D000105']
