AOP,ID,s.name,Stressor
Inhibition of JAK3 leading to impairment of T-Cell Dependent Antibody Response,315,RB1,[CHEBI:33322]
Inhibition of JAK3 leading to impairment of T-Cell Dependent Antibody Response,315,4-aminopiperidine,[mesh:C481395]
Inhibition of JAK3 leading to impairment of T-Cell Dependent Antibody Response,315,PF-06651600,[mesh:C000614924]
Inhibition of JAK3 leading to impairment of T-Cell Dependent Antibody Response,315,1792180-81-4,[mesh:C539455]
Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,257,metallothionine,[mesh:D005278]
Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,257,Oxygen,[mesh:D010100]
Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,257,aminoglycosides,[mesh:D000617]
Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,257,polymyxins,[mesh:D011113]
Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,257,Cd,[CHEBI:22977]
Aromatase induction leading to estrogen receptor alpha activation via increased estradiol,561,Estrogen,[mesh:D004967]
Aromatase induction leading to estrogen receptor alpha activation via increased estradiol,561,estradiol,[CHEBI:16469]
CYP2E1 activation and formation of protein adducts leading to neurodegeneration,260,ethanol,[mesh:D000431]
CYP2E1 activation and formation of protein adducts leading to neurodegeneration,260,Acetaldehyde,[mesh:D000079]
CYP2E1 activation and formation of protein adducts leading to neurodegeneration,260,MDA,[CHEBI:32506]
CYP2E1 activation and formation of protein adducts leading to neurodegeneration,260,4-hydroxynonenal,[CHEBI:58968]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,Estrogen,[mesh:D004967]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,Androgen,[mesh:D000728]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,estradiol,[CHEBI:16469]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,GABA,[mesh:D005680]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,PVC,[mesh:D011143]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,P4,[CHEBI:35898]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,steroid,[mesh:D013256]
"Decreased, GnRH pulsatility/release leading to estradiol availability, increased via impaired ovulation",566,progesterone,[mesh:D011374]
Renal protein alkylation leading to kidney toxicity,258,trichloroethylene,[mesh:D014241]
Renal protein alkylation leading to kidney toxicity,258,tetrachloroethylene,[mesh:D013750]
Renal protein alkylation leading to kidney toxicity,258,hydroquinone,[mesh:C031927]
Renal protein alkylation leading to kidney toxicity,258,bromobenzene,[mesh:C032036]
Renal protein alkylation leading to kidney toxicity,258,cephalosporins,[mesh:D002511]
Renal protein alkylation leading to kidney toxicity,258,4-aminophenol,[mesh:C026729]
Renal protein alkylation leading to kidney toxicity,258,"N-(3,5-dichlorophenyl)succinimide",[mesh:C007352]
Renal protein alkylation leading to kidney toxicity,258,creatinine,[mesh:D003404]
Renal protein alkylation leading to kidney toxicity,258,urea,[mesh:D014508]
Renal protein alkylation leading to kidney toxicity,258,nitrogen,[mesh:D009584]
Renal protein alkylation leading to kidney toxicity,258,haloalkenes,[CHEBI:5610]
Renal protein alkylation leading to kidney toxicity,258,ATP,[CHEBI:30616]
Renal protein alkylation leading to kidney toxicity,258,"hexachloro-1,3-butadiene",[mesh:C001335]
Renal protein alkylation leading to kidney toxicity,258,chloroform,[mesh:D002725]
Renal protein alkylation leading to kidney toxicity,258,quinones,[mesh:D011809]
"17β-Hydroxysteroid dehydrogenase 2, inhibition leading to activation, estrogen receptor alpha",565,Estrogen,[mesh:D004967]
"17β-Hydroxysteroid dehydrogenase 2, inhibition leading to activation, estrogen receptor alpha",565,17-Hydroxysteroid,[CHEBI:36838]
Binding of SARS-CoV-2 to ACE2 receptor leading to acute respiratory distress associated mortality,320,serine,[mesh:D012694]
HCN Channel Inhibition leading to Arrhythmias,562,nucleotides,[mesh:D009711]
HCN Channel Inhibition leading to Arrhythmias,562,ivabradine,[mesh:D000077550]
HCN Channel Inhibition leading to Arrhythmias,562,zatebradine,[mesh:C043636]
Binding to ACE2 leading to lung fibrosis,319,Oxygen,[mesh:D010100]
Uncoupling of oxidative phosphorylation leading to growth inhibition via ATP depletion associated cell death,264,ATP,[CHEBI:30616]
Uncoupling of oxidative phosphorylation leading to growth inhibition via ATP depletion associated cell death,264,adenosine triphosphate,[mesh:D000255]
Uncoupling of oxidative phosphorylation leading to growth inhibition via ATP depletion associated cell death,264,adenosine diphosphate,[mesh:D000244]
Uncoupling of oxidative phosphorylation leading to growth inhibition via ATP depletion associated cell death,264,ADP,[CHEBI:73342]
Uncoupling of oxidative phosphorylation leading to growth inhibition via increased cytosolic calcium,265,ATP,[CHEBI:30616]
Uncoupling of oxidative phosphorylation leading to growth inhibition via increased cytosolic calcium,265,Calcium,[mesh:D002118]
DBDPE-induced inhibition of mitochondrial complex Ⅰ leading to population decline via neurotoxicity and metabotoxicity.,564,polybrominated diphenyl ethers,[mesh:D055768]
DBDPE-induced inhibition of mitochondrial complex Ⅰ leading to population decline via neurotoxicity and metabotoxicity.,564,ATP,[CHEBI:30616]
DBDPE-induced inhibition of mitochondrial complex Ⅰ leading to population decline via neurotoxicity and metabotoxicity.,564,NAD+,[CHEBI:15846]
DBDPE-induced inhibition of mitochondrial complex Ⅰ leading to population decline via neurotoxicity and metabotoxicity.,564,DBDPE,[mesh:D015123]
DBDPE-induced inhibition of mitochondrial complex Ⅰ leading to population decline via neurotoxicity and metabotoxicity.,564,Decabromodiphenyl ethane,[mesh:C491509]
DBDPE-induced inhibition of mitochondrial complex Ⅰ leading to population decline via neurotoxicity and metabotoxicity.,564,nicotinamide riboside,[CHEBI:15927]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and cell death,324,Oxygen,[mesh:D010100]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and cell death,324,superoxide,[mesh:D013481]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and cell death,324,hydrogen peroxide,[mesh:D006861]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and cell death,324,adenine,[mesh:D000225]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and cell death,324,8-oxoG,[mesh:C046215]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and cell death,324,8-oxoguanine,[CHEBI:44605]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and cell death,324,hydroxyl,[mesh:D017665]
Uncoupling of oxidative phosphorylation leading to growth inhibition via decreased Na-K ATPase activity,266,Oxygen,[mesh:D010100]
Uncoupling of oxidative phosphorylation leading to growth inhibition via decreased Na-K ATPase activity,266,Na+,[CHEBI:29101]
Uncoupling of oxidative phosphorylation leading to growth inhibition via decreased Na-K ATPase activity,266,K+,[CHEBI:29103]
L-type calcium channel blockade leading to heart failure via decrease in cardiac contractility,261,potassium,[mesh:D011188]
L-type calcium channel blockade leading to heart failure via decrease in cardiac contractility,261,Calcium,[mesh:D002118]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and cell death,325,Oxygen,[mesh:D010100]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and cell death,325,superoxide,[mesh:D013481]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and cell death,325,hydrogen peroxide,[mesh:D006861]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and cell death,325,adenine,[mesh:D000225]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and cell death,325,8-oxoG,[mesh:C046215]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and cell death,325,8-oxoguanine,[CHEBI:44605]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and cell death,325,hydroxyl,[mesh:D017665]
Decreased testosterone synthesis leading to hypospadias in male (mammalian) offspring,570,testosterone,[mesh:D013739]
L-type calcium channel blockade leading to the disruption of cardiac electrophysiology,262,Calcium,[mesh:D002118]
PPARalpha Agonism Leading to Decreased Viable Offspring via Decreased 11-Ketotestosterone,323,fatty acid,[mesh:D005227]
PPARalpha Agonism Leading to Decreased Viable Offspring via Decreased 11-Ketotestosterone,323,11-KT,[mesh:C016531]
PPARalpha Agonism Leading to Decreased Viable Offspring via Decreased 11-Ketotestosterone,323,per- and polyfluoroalkyl,[CHEBI:60582]
PPARalpha Agonism Leading to Decreased Viable Offspring via Decreased 11-Ketotestosterone,323,PFAS,[CHEBI:53371]
PPARalpha Agonism Leading to Decreased Viable Offspring via Decreased 11-Ketotestosterone,323,11-Ketotestosterone,[mesh:C003600]
PPARalpha Agonism Leading to Decreased Viable Offspring via Decreased 11-Ketotestosterone,323,cholesterol,[mesh:D002784]
Uncoupling of oxidative phosphorylation leading to  growth inhibition via decreased cell proliferation,263,ATP,[CHEBI:30616]
