GeneName,gid,AOP_ID,KeyEventName,kid,IsMIE
GABA receptors,"[NCBIGene:2569, 200959]",10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
GABA receptors,"[NCBIGene:2569, 200959]",10,"Reduction, Neuronal synaptic inhibition",669,false
GABA receptors,"[NCBIGene:2569, 200959]",10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
GABA receptors,"[NCBIGene:2569, 200959]",10,"Occurrence, Epileptic seizure",613,false
GABA receptors,"[NCBIGene:2569, 200959]",10,"Occurrence, A paroxysmal depolarizing shift",616,false
GABA receptors,"[NCBIGene:2569, 200959]",10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
GABAA receptor,[NCBIGene:2550],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
GABAA receptor,[NCBIGene:2550],10,"Reduction, Neuronal synaptic inhibition",669,false
GABAA receptor,[NCBIGene:2550],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
GABAA receptor,[NCBIGene:2550],10,"Occurrence, Epileptic seizure",613,false
GABAA receptor,[NCBIGene:2550],10,"Occurrence, A paroxysmal depolarizing shift",616,false
GABAA receptor,[NCBIGene:2550],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
GABAB receptors,[NCBIGene:165829],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
GABAB receptors,[NCBIGene:165829],10,"Reduction, Neuronal synaptic inhibition",669,false
GABAB receptors,[NCBIGene:165829],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
GABAB receptors,[NCBIGene:165829],10,"Occurrence, Epileptic seizure",613,false
GABAB receptors,[NCBIGene:165829],10,"Occurrence, A paroxysmal depolarizing shift",616,false
GABAB receptors,[NCBIGene:165829],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
GABAC receptor,[NCBIGene:200959],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
GABAC receptor,[NCBIGene:200959],10,"Reduction, Neuronal synaptic inhibition",669,false
GABAC receptor,[NCBIGene:200959],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
GABAC receptor,[NCBIGene:200959],10,"Occurrence, Epileptic seizure",613,false
GABAC receptor,[NCBIGene:200959],10,"Occurrence, A paroxysmal depolarizing shift",616,false
GABAC receptor,[NCBIGene:200959],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
iGABA receptor,[NCBIGene:973],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
iGABA receptor,[NCBIGene:973],10,"Reduction, Neuronal synaptic inhibition",669,false
iGABA receptor,[NCBIGene:973],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
iGABA receptor,[NCBIGene:973],10,"Occurrence, Epileptic seizure",613,false
iGABA receptor,[NCBIGene:973],10,"Occurrence, A paroxysmal depolarizing shift",616,false
iGABA receptor,[NCBIGene:973],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
iGABAR,[NCBIGene:6418],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
iGABAR,[NCBIGene:6418],10,"Reduction, Neuronal synaptic inhibition",669,false
iGABAR,[NCBIGene:6418],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
iGABAR,[NCBIGene:6418],10,"Occurrence, Epileptic seizure",613,false
iGABAR,[NCBIGene:6418],10,"Occurrence, A paroxysmal depolarizing shift",616,false
iGABAR,[NCBIGene:6418],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
iGABARs,[NCBIGene:50945],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
iGABARs,[NCBIGene:50945],10,"Reduction, Neuronal synaptic inhibition",669,false
iGABARs,[NCBIGene:50945],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
iGABARs,[NCBIGene:50945],10,"Occurrence, Epileptic seizure",613,false
iGABARs,[NCBIGene:50945],10,"Occurrence, A paroxysmal depolarizing shift",616,false
iGABARs,[NCBIGene:50945],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
insect iGABARs,[NCBIGene:11188],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
insect iGABARs,[NCBIGene:11188],10,"Reduction, Neuronal synaptic inhibition",669,false
insect iGABARs,[NCBIGene:11188],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
insect iGABARs,[NCBIGene:11188],10,"Occurrence, Epileptic seizure",613,false
insect iGABARs,[NCBIGene:11188],10,"Occurrence, A paroxysmal depolarizing shift",616,false
insect iGABARs,[NCBIGene:11188],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
mGABAR,[NCBIGene:706],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
mGABAR,[NCBIGene:706],10,"Reduction, Neuronal synaptic inhibition",669,false
mGABAR,[NCBIGene:706],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
mGABAR,[NCBIGene:706],10,"Occurrence, Epileptic seizure",613,false
mGABAR,[NCBIGene:706],10,"Occurrence, A paroxysmal depolarizing shift",616,false
mGABAR,[NCBIGene:706],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
metabotropic G-protein-coupled receptors,[NCBIGene:2911],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
metabotropic G-protein-coupled receptors,[NCBIGene:2911],10,"Reduction, Neuronal synaptic inhibition",669,false
metabotropic G-protein-coupled receptors,[NCBIGene:2911],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
metabotropic G-protein-coupled receptors,[NCBIGene:2911],10,"Occurrence, Epileptic seizure",613,false
metabotropic G-protein-coupled receptors,[NCBIGene:2911],10,"Occurrence, A paroxysmal depolarizing shift",616,false
metabotropic G-protein-coupled receptors,[NCBIGene:2911],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
picrotoxin site,[NCBIGene:27445],10,"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,false
picrotoxin site,[NCBIGene:27445],10,"Reduction, Neuronal synaptic inhibition",669,false
picrotoxin site,[NCBIGene:27445],10,"Binding at picrotoxin site, iGABAR chloride channel",667,true
picrotoxin site,[NCBIGene:27445],10,"Occurrence, Epileptic seizure",613,false
picrotoxin site,[NCBIGene:27445],10,"Occurrence, A paroxysmal depolarizing shift",616,false
picrotoxin site,[NCBIGene:27445],10,"Reduction, Ionotropic GABA receptor chloride channel conductance",64,false
Cyclooxygenase,[NCBIGene:5742],100,"Reduced, Reproductive Success",675,false
Cyclooxygenase,[NCBIGene:5742],100,"Reduced, Prostaglandin F2alpha concentration, plasma",671,false
Cyclooxygenase,[NCBIGene:5742],100,"Reduced, Prostaglandin F2alpha synthesis, ovary",672,false
Cyclooxygenase,[NCBIGene:5742],100,"Reduced, Spawning behavior",673,false
Cyclooxygenase,[NCBIGene:5742],100,"Reduced, Ability to attract spawning mates",674,false
Cyclooxygenase,[NCBIGene:5742],100,"Inhibition, Cyclooxygenase activity",79,true
Cyclooxygenase,[NCBIGene:5742],100,"Decrease, Population growth rate",360,false
Cyclooxygenase,[NCBIGene:5742],101,"Reduced, Reproductive Success",675,false
Cyclooxygenase,[NCBIGene:5742],101,"Reduced, Prostaglandin F2alpha concentration, plasma",671,false
Cyclooxygenase,[NCBIGene:5742],101,"Reduced, Ability to attract spawning mates",674,false
Cyclooxygenase,[NCBIGene:5742],101,"Reduced, Pheromone release",678,false
Cyclooxygenase,[NCBIGene:5742],101,"Decreased, Prostaglandin F2alpha synthesis, ovary",681,false
Cyclooxygenase,[NCBIGene:5742],101,"Inhibition, Cyclooxygenase activity",79,true
Cyclooxygenase,[NCBIGene:5742],101,"Decrease, Population growth rate",360,false
Cyclooxygenase,[NCBIGene:5742],102,"Reduced, Reproductive Success",675,false
Cyclooxygenase,[NCBIGene:5742],102,"Reduced, Maturation inducing steroid, plasma",691,false
Cyclooxygenase,[NCBIGene:5742],102,"Reduced, Maturation inducing steroid receptor signalling, oocyte",692,false
Cyclooxygenase,[NCBIGene:5742],102,"Reduced, Meiotic prophase I/metaphase I transition, oocyte",694,false
Cyclooxygenase,[NCBIGene:5742],102,"Increased, cyclic adenosine monophosphate",693,false
Cyclooxygenase,[NCBIGene:5742],102,"Inhibition, Cyclooxygenase activity",79,true
Cyclooxygenase,[NCBIGene:5742],102,"Decrease, Population growth rate",360,false
Cyclooxygenase,[NCBIGene:5742],102,"Reduced, Prostaglandin E2 concentration, hypothalamus",687,false
Cyclooxygenase,[NCBIGene:5742],102,"Reduced, Gonadotropin releasing hormone, hypothalamus",689,false
Cyclooxygenase,[NCBIGene:5742],102,"Reduced, Luteinizing hormone (LH), plasma",690,false
Cyclooxygenase,[NCBIGene:5742],103,"Reduced, Reproductive Success",675,false
Cyclooxygenase,[NCBIGene:5742],103,"Increased, Chromosome misseggregation",696,false
Cyclooxygenase,[NCBIGene:5742],103,"Reduced, Maturation inducing steroid, plasma",691,false
Cyclooxygenase,[NCBIGene:5742],103,"Reduced, Maturation inducing steroid receptor signalling, oocyte",692,false
Cyclooxygenase,[NCBIGene:5742],103,"Upregulated, Spindle assembly checkpoint protein Mad2-oocyte",695,false
Cyclooxygenase,[NCBIGene:5742],103,"Inhibition, Cyclooxygenase activity",79,true
Cyclooxygenase,[NCBIGene:5742],103,"Decrease, Population growth rate",360,false
Cyclooxygenase,[NCBIGene:5742],103,"Reduced, Prostaglandin E2 concentration, hypothalamus",687,false
Cyclooxygenase,[NCBIGene:5742],103,"Reduced, Gonadotropin releasing hormone, hypothalamus",689,false
Cyclooxygenase,[NCBIGene:5742],103,"Reduced, Luteinizing hormone (LH), plasma",690,false
2u-globulin,[NCBIGene:6066],105,"Increase, Cytotoxicity (renal tubular cell)",709,false
2u-globulin,[NCBIGene:6066],105,"Increase, Regenerative cell proliferation (tubular epithelial cells)",710,false
2u-globulin,[NCBIGene:6066],105,"Increase, Adenomas/carcinomas (renal tubular)",713,false
